record_id,instrument_id,id_type,exchange_code,figi,price,volume,timestamp,lookup_count,exchange_rank
REC001,AAPL US,TICKER,US,BBG000B9XRY4,189.4200,15000,2026-08-28 09:30:01,4,5
REC002,MSFT US,TICKER,US,BBG000BPH459,415.7800,8200,2026-08-28 09:30:05,4,5
REC003,BARC LN,TICKER,GB,BBG000C04830,215.6000,42000,2026-08-28 09:30:08,4,1
REC004,VOD LN,TICKER,GB,BBG000C4R6H8,74.8200,91000,2026-08-28 09:30:11,4,1
REC005,SAP GY,TICKER,DE,BBG000BG05S7,178.9400,3100,2026-08-28 09:30:14,4,2
REC006,SIE GY,TICKER,DE,BBG000BCCRV3,183.2200,4800,2026-08-28 09:30:17,4,2
REC007,CS FP,TICKER,FR,BBG000BVDRF5,28.4400,22000,2026-08-28 09:30:20,4,3
REC008,BNP FP,TICKER,FR,BBG000BVDHD0,58.9600,11500,2026-08-28 09:30:23,4,3
REC009,SONY JP,TICKER,JP,BBG000C26F38,2441.0000,9800,2026-08-28 09:30:26,4,4
REC010,TM JP,TICKER,JP,BBG000BCM915,2893.5000,6200,2026-08-28 09:30:29,4,4
REC011,NVDA US,TICKER,US,BBG000BBJQV0,875.3200,5400,2026-08-28 09:30:32,4,5
REC012,HSBA LN,TICKER,GB,BBG000BS1N49,646.1000,33000,2026-08-28 09:30:35,4,1
REC013,ADS GY,TICKER,DE,BBG000FR1Q22,236.8800,2700,2026-08-28 09:30:38,4,2
REC014,LVMH FP,TICKER,FR,BBG000BC7Q05,722.4000,1900,2026-08-28 09:30:41,4,3
REC015,6758 JP,TICKER,JP,BBG000C26F39,2156.0000,14200,2026-08-28 09:30:44,4,4
REC016,GOOGL US,TICKER,US,BBG009S39JX6,178.9200,7600,2026-08-28 09:30:47,4,5
REC017,ULVR LN,TICKER,GB,BBG000C0M8X7,4218.0000,8800,2026-08-28 09:30:50,4,1
REC018,BMW GY,TICKER,DE,BBG000BBQ2S4,91.6600,5500,2026-08-28 09:30:53,4,2
REC019,AI FP,TICKER,FR,BBG000BVDHT1,27.1800,18400,2026-08-28 09:30:56,4,3
REC020,6861 JP,TICKER,JP,BBG000BC7R78,4932.0000,3300,2026-08-28 09:31:00,4,4
